(Contribution||has||Models)
(Models||subsequently uses||single - hidden - layer feed - forward network)
(single - hidden - layer feed - forward network||to transform||sentence representation)
(sentence representation||to||probability vector)
(Models||optimizes||predicted label sequence jointly)
(predicted label sequence jointly||via||CRF layer)
(Models||uses||another bi - LSTM layer)
(another bi - LSTM layer||output||contextualized sentence representation)
(another bi - LSTM layer||take as input||individual sentence representation)
(Models||present||hierarchical neural network model)
(hierarchical neural network model||call||hierarchical sequential labeling network ( HSLN ))
(hierarchical neural network model||for||sequential sentence classification task)
(Models||first uses||RNN or CNN layer)
(RNN or CNN layer||to individually encode||sentence representation)
(sentence representation||from||sequence of word embeddings)
